"Product ID";"Combination ID";"Indeks produktu";"Nr ref. kombinacji";"Nazwa produktu";"Nazwa kombinacji";Dostawca;Wyświetlany;"Fizyczny stan magazynu";"Zarezerwowana ilość";"Dostępna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie wiadomość e-mail, gdy ilość jest niższa lub równa temu poziomowi"
6314;0;N/A;N/A;"Lampička Cyberpunk 2077 - Edgerunner Phantom Edition";N/A;N/A;1;1;0;1;N/A;0
6315;0;N/A;N/A;"Lampička PlayStation - LED fontánky";N/A;N/A;1;10;0;10;N/A;0
6316;0;N/A;N/A;"Vánoční ozdoba Star Wars - Stormtrooper anděl";N/A;N/A;1;6;0;6;N/A;0
6317;0;N/A;N/A;"Lampa Harry Potter - Zlatonka";N/A;N/A;1;3;0;3;N/A;0
6318;0;N/A;N/A;"Vánoční ozdoba Harry Potter - Zlatonka";N/A;N/A;1;9;0;9;N/A;0
6319;0;N/A;N/A;"Deník Toma Raddla se zubem Baziliška";N/A;N/A;1;5;0;5;N/A;0
6320;0;N/A;N/A;"Vánoční balicí papír Pokémon - Santa Pikachu";N/A;N/A;1;9;0;9;N/A;0
6321;0;N/A;N/A;"Lampička Minecraft - Axolotl";N/A;N/A;1;5;0;5;N/A;0
6322;0;N/A;N/A;"Držák Cable Guy Marvel - Groot";N/A;N/A;1;5;0;5;N/A;0
6323;0;N/A;N/A;"Lampička Marvel Logo";N/A;N/A;1;8;0;8;N/A;0
6324;0;N/A;N/A;"Rohožka Star Wars - Yoda 60 x 40 cm";N/A;N/A;1;2;0;2;N/A;0
6325;0;N/A;N/A;"Figurka Harry Potter - svítící hrad Bradavice";N/A;N/A;1;8;0;8;N/A;0
6326;0;N/A;N/A;"Rohožka Star Wars - Welcome to the Dark Side, pryž";N/A;N/A;1;4;0;4;N/A;0
6327;0;N/A;N/A;"Pokladnička Harry Potter - Bradavice";N/A;N/A;1;6;0;6;N/A;0
6328;0;N/A;N/A;"Lampička Minecraft - Pochodeň";N/A;N/A;1;6;0;6;N/A;0
6329;0;N/A;N/A;"Rohožka Star Wars - Welcome To The Dark Side 60 x 33 cm";N/A;N/A;1;0;0;0;N/A;0
6330;0;N/A;N/A;"Vánoční balicí papír imago";N/A;N/A;1;8;0;8;N/A;0
6331;0;N/A;N/A;"Vánoční balicí papír Harry Potter - Hlavní hrdinové";N/A;N/A;1;1;0;1;N/A;0
6332;0;N/A;N/A;"Lampička Ukradené Vánoce - Jack Skellington";N/A;N/A;1;9;0;9;N/A;0
6333;0;N/A;N/A;"Lampička Minecraft - Liška";N/A;N/A;1;3;0;3;N/A;0
6334;0;N/A;N/A;"Lampička Minecraft - Creeper";N/A;N/A;1;0;0;0;N/A;0
6335;0;N/A;N/A;"Svíčka Pán prstenů - Sauronovo oko";N/A;N/A;1;10;0;10;N/A;0
6336;0;N/A;N/A;"Lampička Minecraft - Polární liška";N/A;N/A;1;10;0;10;N/A;0
6337;0;N/A;N/A;"Svíčka Friends - Central Perk";N/A;N/A;1;9;0;9;N/A;0
6338;0;N/A;N/A;"Replika Harry Potter - Čokoládová žabka";N/A;N/A;1;3;0;3;N/A;0
6339;0;N/A;N/A;"Lampička Demon Slayer - Characters";N/A;N/A;1;3;0;3;N/A;0
6340;0;N/A;N/A;"Lávová lampa Minecraft";N/A;N/A;1;10;0;10;N/A;0
6341;0;N/A;N/A;"Replika Game of Thrones - dračí vejce Rhaegal";N/A;N/A;1;5;0;5;N/A;0
6342;0;N/A;N/A;"Pokladnička Harry Potter - Zlatonka";N/A;N/A;1;6;0;6;N/A;0
6343;0;N/A;N/A;"LED lampa Wednesday - Okno";N/A;N/A;1;4;0;4;N/A;0
6344;0;N/A;N/A;"Lampička Cyberpunk 2077 - Edgerunner Phantom Edition";N/A;N/A;1;8;0;8;N/A;0
6345;0;N/A;N/A;"Lampička PlayStation - LED fontánky";N/A;N/A;1;10;0;10;N/A;0
6346;0;N/A;N/A;"Vánoční ozdoba Star Wars - Stormtrooper anděl";N/A;N/A;1;7;0;7;N/A;0
6347;0;N/A;N/A;"Lampa Harry Potter - Zlatonka";N/A;N/A;1;5;0;5;N/A;0
6348;0;N/A;N/A;"Vánoční ozdoba Harry Potter - Zlatonka";N/A;N/A;1;8;0;8;N/A;0
6349;0;N/A;N/A;"Deník Toma Raddla se zubem Baziliška";N/A;N/A;1;5;0;5;N/A;0
6350;0;N/A;N/A;"Vánoční balicí papír Pokémon - Santa Pikachu";N/A;N/A;1;6;0;6;N/A;0
6351;0;N/A;N/A;"Lampička Minecraft - Axolotl";N/A;N/A;1;10;0;10;N/A;0
6352;0;N/A;N/A;"Držák Cable Guy Marvel - Groot";N/A;N/A;1;0;0;0;N/A;0
6353;0;N/A;N/A;"Lampička Marvel Logo";N/A;N/A;1;5;0;5;N/A;0
6354;0;N/A;N/A;"Povlečení Minecraft - Hostile Mobs, svítící ve tmě";N/A;N/A;1;7;0;7;N/A;0
6355;0;N/A;N/A;"Polštářek Star Wars - Impérium";N/A;N/A;1;0;0;0;N/A;0
6356;0;N/A;N/A;"Povlečení Star Wars - Death Star, svítí ve tmě";N/A;N/A;1;9;0;9;N/A;0
6357;0;N/A;N/A;"Deka Harry Potter - Bradavice";N/A;N/A;1;1;0;1;N/A;0
6358;0;N/A;N/A;"Polštář Pán prstenů - Jeden prsten";N/A;N/A;1;4;0;4;N/A;0
6359;0;N/A;N/A;"Polštář Harry Potter - Znak Bradavic";N/A;N/A;1;0;0;0;N/A;0
6360;0;N/A;N/A;"Povlečení Harry Potter - Bradavice, svítící ve tmě";N/A;N/A;1;2;0;2;N/A;0
6361;0;N/A;N/A;"Povlečení Harry Potter - Hogwarts, oboustranné";N/A;N/A;1;2;0;2;N/A;0
6362;0;N/A;N/A;"Tvarovaný polštář Pokémon - Pikachu";N/A;N/A;1;5;0;5;N/A;0
6363;0;N/A;N/A;"Povlečení Star Wars - Baby Yoda";N/A;N/A;1;7;0;7;N/A;0
6364;0;N/A;N/A;"Povlečení Harry Potter - Bradavické koleje";N/A;N/A;1;2;0;2;N/A;0
6365;0;N/A;N/A;"Polštář Minecraft - Survival Mode";N/A;N/A;1;8;0;8;N/A;0
6366;0;N/A;N/A;"Povlečení Minecraft - Survival Mode";N/A;N/A;1;6;0;6;N/A;0
6367;0;N/A;N/A;"Povlečení Naruto Shippuden - Akatsuki";N/A;N/A;1;4;0;4;N/A;0
6368;0;N/A;N/A;"Polštář a plyšák Harry Potter - Zmijozel";N/A;N/A;1;2;0;2;N/A;0
6369;0;N/A;N/A;"Deka Minecraft - TNT";N/A;N/A;1;4;0;4;N/A;0
6370;0;N/A;N/A;"Povlečení Avengers - Heroes";N/A;N/A;1;4;0;4;N/A;0
6371;0;N/A;N/A;"Povlečení Naruto Shippuden - Naruto a Kakashi";N/A;N/A;1;0;0;0;N/A;0
6372;0;N/A;N/A;"Plyšák s polštářem Harry Potter - Čokoládová žabka";N/A;N/A;1;8;0;8;N/A;0
6373;0;N/A;N/A;"Polštář Friends - Central Perk";N/A;N/A;1;3;0;3;N/A;0
6374;0;N/A;N/A;"Povlečení Super Mario Bros. ve filmu";N/A;N/A;1;4;0;4;N/A;0
6375;0;N/A;N/A;"Povlečení Naruto Shippuden - Naruto a přátelé";N/A;N/A;1;1;0;1;N/A;0
6376;0;N/A;N/A;"Povlečení Harry Potter - Famfrpál";N/A;N/A;1;2;0;2;N/A;0
6377;0;N/A;N/A;"Polštář Harry Potter - Nástupiště 9 a 3/4, menší";N/A;N/A;1;8;0;8;N/A;0
6378;0;N/A;N/A;"Povlečení Naruto Shippuden - Ninjové";N/A;N/A;1;7;0;7;N/A;0
6379;0;N/A;N/A;"Povlečení Naruto - Main Characters";N/A;N/A;1;1;0;1;N/A;0
6380;0;N/A;N/A;"Polštář Harry Potter - Bradavická škola";N/A;N/A;1;1;0;1;N/A;0
6381;0;N/A;N/A;"Polštář Game of Thrones - Targaryen";N/A;N/A;1;0;0;0;N/A;0
6382;0;N/A;N/A;"Deka s kapucí Pokémon - Pikachu";N/A;N/A;1;6;0;6;N/A;0
6383;0;N/A;N/A;"Polštář Naruto Shippuden - Naruto Uzumaki";N/A;N/A;1;9;0;9;N/A;0
6384;0;N/A;N/A;"Povlečení Minecraft - Hostile Mobs, svítící ve tmě";N/A;N/A;1;1;0;1;N/A;0
6385;0;N/A;N/A;"Polštářek Star Wars - Impérium";N/A;N/A;1;3;0;3;N/A;0
6386;0;N/A;N/A;"Povlečení Star Wars - Death Star, svítí ve tmě";N/A;N/A;1;0;0;0;N/A;0
6387;0;N/A;N/A;"Deka Harry Potter - Bradavice";N/A;N/A;1;1;0;1;N/A;0
6388;0;N/A;N/A;"Polštář Pán prstenů - Jeden prsten";N/A;N/A;1;8;0;8;N/A;0
6389;0;N/A;N/A;"Polštář Harry Potter - Znak Bradavic";N/A;N/A;1;5;0;5;N/A;0
6390;0;N/A;N/A;"Povlečení Harry Potter - Bradavice, svítící ve tmě";N/A;N/A;1;9;0;9;N/A;0
6391;0;N/A;N/A;"Povlečení Harry Potter - Hogwarts, oboustranné";N/A;N/A;1;3;0;3;N/A;0
6392;0;N/A;N/A;"Tvarovaný polštář Pokémon - Pikachu";N/A;N/A;1;5;0;5;N/A;0
6393;0;N/A;N/A;"Povlečení Star Wars - Baby Yoda";N/A;N/A;1;6;0;6;N/A;0
6394;0;N/A;N/A;"Povlečení Harry Potter - Bradavické koleje";N/A;N/A;1;6;0;6;N/A;0
6395;0;N/A;N/A;"Polštář Minecraft - Survival Mode";N/A;N/A;1;7;0;7;N/A;0
6396;0;N/A;N/A;"Povlečení Minecraft - Survival Mode";N/A;N/A;1;10;0;10;N/A;0
6397;0;N/A;N/A;"Povlečení Naruto Shippuden - Akatsuki";N/A;N/A;1;9;0;9;N/A;0
6398;0;N/A;N/A;"Polštář a plyšák Harry Potter - Zmijozel";N/A;N/A;1;7;0;7;N/A;0
6399;0;N/A;N/A;"Deka Minecraft - TNT";N/A;N/A;1;0;0;0;N/A;0
6400;0;N/A;N/A;"Povlečení Avengers - Heroes";N/A;N/A;1;6;0;6;N/A;0
6401;0;N/A;N/A;"Povlečení Naruto Shippuden - Naruto a Kakashi";N/A;N/A;1;5;0;5;N/A;0
6402;0;N/A;N/A;"Plyšák s polštářem Harry Potter - Čokoládová žabka";N/A;N/A;1;8;0;8;N/A;0
6403;0;N/A;N/A;"Polštář Friends - Central Perk";N/A;N/A;1;9;0;9;N/A;0
6404;0;N/A;N/A;"Povlečení Super Mario Bros. ve filmu";N/A;N/A;1;3;0;3;N/A;0
6405;0;N/A;N/A;"Povlečení Naruto Shippuden - Naruto a přátelé";N/A;N/A;1;0;0;0;N/A;0
6406;0;N/A;N/A;"Povlečení Harry Potter - Famfrpál";N/A;N/A;1;7;0;7;N/A;0
6407;0;N/A;N/A;"Polštář Harry Potter - Nástupiště 9 a 3/4, menší";N/A;N/A;1;7;0;7;N/A;0
6408;0;N/A;N/A;"Povlečení Naruto Shippuden - Ninjové";N/A;N/A;1;1;0;1;N/A;0
6409;0;N/A;N/A;"Povlečení Naruto - Main Characters";N/A;N/A;1;7;0;7;N/A;0
6410;0;N/A;N/A;"Polštář Harry Potter - Bradavická škola";N/A;N/A;1;7;0;7;N/A;0
6411;0;N/A;N/A;"Polštář Game of Thrones - Targaryen";N/A;N/A;1;7;0;7;N/A;0
6412;0;N/A;N/A;"Deka s kapucí Pokémon - Pikachu";N/A;N/A;1;6;0;6;N/A;0
6413;0;N/A;N/A;"Polštář Naruto Shippuden - Naruto Uzumaki";N/A;N/A;1;10;0;10;N/A;0
6414;0;N/A;N/A;"Houba na mytí Mandalorian - Baby Yoda";N/A;N/A;1;4;0;4;N/A;0
6415;0;N/A;N/A;"Krém na ruce Star Wars - Darth Vader";N/A;N/A;1;0;0;0;N/A;0
6416;0;N/A;N/A;"Osuška Minecraft - Metro Art Survive";N/A;N/A;1;4;0;4;N/A;0
6417;0;N/A;N/A;"Balzám na rty Mandalorian - Baby Yoda (2 ks)";N/A;N/A;1;7;0;7;N/A;0
6418;0;N/A;N/A;"Bomby do koupele Star Wars - Darth Vader";N/A;N/A;1;1;0;1;N/A;0
6419;0;N/A;N/A;"Koupelová dárková sada Mandalorian - Bounty Hunter";N/A;N/A;1;6;0;6;N/A;0
6420;0;N/A;N/A;"Sprchový gel Ukradené Vánoce: Deadly Night Shade";N/A;N/A;1;10;0;10;N/A;0
6421;0;N/A;N/A;"Osuška Minecraft - Boom";N/A;N/A;1;2;0;2;N/A;0
6422;0;N/A;N/A;"Osuška Star Wars - Baby Yoda";N/A;N/A;1;10;0;10;N/A;0
6423;0;N/A;N/A;"Balzám na rty Star Wars - Darth Vader";N/A;N/A;1;10;0;10;N/A;0
6424;0;N/A;N/A;"Osuška Harry Potter - Havraspár";N/A;N/A;1;6;0;6;N/A;0
6425;0;N/A;N/A;"Sada balzámů na rty: Beetlejuice";N/A;N/A;1;4;0;4;N/A;0
6426;0;N/A;N/A;"Toaletní taška Pán prstenů - Společenstvo";N/A;N/A;1;8;0;8;N/A;0
6427;0;N/A;N/A;"Sprchový gel s hubkou: Ukradené Vánoce";N/A;N/A;1;7;0;7;N/A;0
6428;0;N/A;N/A;"Osuška Naruto Shippuden";N/A;N/A;1;10;0;10;N/A;0
6429;0;N/A;N/A;"Krém na ruce s pilníkem: Beetlejuice";N/A;N/A;1;2;0;2;N/A;0
6430;0;N/A;N/A;"Pleťová maska Mandalorian - Baby Yoda";N/A;N/A;1;10;0;10;N/A;0
6431;0;N/A;N/A;"Pleťová maska Star Wars - Chewbacca";N/A;N/A;1;9;0;9;N/A;0
6432;0;N/A;N/A;"Osuška Harry Potter - Nástupiště 9 a 3/4";N/A;N/A;1;3;0;3;N/A;0
6433;0;N/A;N/A;"Osuška Harry Potter - Přijímací dopis z Bradavic";N/A;N/A;1;1;0;1;N/A;0
6434;0;N/A;N/A;"Osuška Harry Potter - Pobertův plánek";N/A;N/A;1;1;0;1;N/A;0
6435;0;N/A;N/A;"Bomba do koupele Star Wars - Hvězda smrti";N/A;N/A;1;5;0;5;N/A;0
6436;0;N/A;N/A;"Toaletní taška Dungeons & Dragons - Ampersand Dice";N/A;N/A;1;10;0;10;N/A;0
6437;0;N/A;N/A;"Bomby do koupele Star Wars - Stormtrooper";N/A;N/A;1;0;0;0;N/A;0
6438;0;N/A;N/A;"Osuška Jurský Svět - Roar";N/A;N/A;1;0;0;0;N/A;0
6439;0;N/A;N/A;"Osuška Avengers - Blue";N/A;N/A;1;0;0;0;N/A;0
6440;0;N/A;N/A;"Bomba do koupele Mandalorian - Grogu";N/A;N/A;1;9;0;9;N/A;0
6441;0;N/A;N/A;"Sada pleťových masek Star Wars - Impérium (3 ks)";N/A;N/A;1;1;0;1;N/A;0
6442;0;N/A;N/A;"Bomba do koupele Mandalorian - Baby Yoda";N/A;N/A;1;1;0;1;N/A;0
6443;0;N/A;N/A;"Sportovní osuška Nepropadej panice!";N/A;N/A;1;3;0;3;N/A;0
6444;0;N/A;N/A;"Houba na mytí Mandalorian - Baby Yoda";N/A;N/A;1;1;0;1;N/A;0
6445;0;N/A;N/A;"Krém na ruce Star Wars - Darth Vader";N/A;N/A;1;1;0;1;N/A;0
6446;0;N/A;N/A;"Osuška Minecraft - Metro Art Survive";N/A;N/A;1;1;0;1;N/A;0
6447;0;N/A;N/A;"Balzám na rty Mandalorian - Baby Yoda (2 ks)";N/A;N/A;1;7;0;7;N/A;0
6448;0;N/A;N/A;"Bomby do koupele Star Wars - Darth Vader";N/A;N/A;1;1;0;1;N/A;0
6449;0;N/A;N/A;"Koupelová dárková sada Mandalorian - Bounty Hunter";N/A;N/A;1;5;0;5;N/A;0
6450;0;N/A;N/A;"Sprchový gel Ukradené Vánoce: Deadly Night Shade";N/A;N/A;1;4;0;4;N/A;0
6451;0;N/A;N/A;"Osuška Minecraft - Boom";N/A;N/A;1;5;0;5;N/A;0
6452;0;N/A;N/A;"Osuška Star Wars - Baby Yoda";N/A;N/A;1;5;0;5;N/A;0
6453;0;N/A;N/A;"Balzám na rty Star Wars - Darth Vader";N/A;N/A;1;9;0;9;N/A;0
6454;0;N/A;N/A;"Osuška Harry Potter - Havraspár";N/A;N/A;1;7;0;7;N/A;0
6455;0;N/A;N/A;"Sada balzámů na rty: Beetlejuice";N/A;N/A;1;5;0;5;N/A;0
6456;0;N/A;N/A;"Toaletní taška Pán prstenů - Společenstvo";N/A;N/A;1;2;0;2;N/A;0
6457;0;N/A;N/A;"Sprchový gel s hubkou: Ukradené Vánoce";N/A;N/A;1;9;0;9;N/A;0
6458;0;N/A;N/A;"Osuška Naruto Shippuden";N/A;N/A;1;3;0;3;N/A;0
6459;0;N/A;N/A;"Krém na ruce s pilníkem: Beetlejuice";N/A;N/A;1;1;0;1;N/A;0
6460;0;N/A;N/A;"Pleťová maska Mandalorian - Baby Yoda";N/A;N/A;1;9;0;9;N/A;0
6461;0;N/A;N/A;"Pleťová maska Star Wars - Chewbacca";N/A;N/A;1;3;0;3;N/A;0
6462;0;N/A;N/A;"Osuška Harry Potter - Nástupiště 9 a 3/4";N/A;N/A;1;4;0;4;N/A;0
6463;0;N/A;N/A;"Osuška Harry Potter - Přijímací dopis z Bradavic";N/A;N/A;1;6;0;6;N/A;0
6464;0;N/A;N/A;"Osuška Harry Potter - Pobertův plánek";N/A;N/A;1;10;0;10;N/A;0
6465;0;N/A;N/A;"Bomba do koupele Star Wars - Hvězda smrti";N/A;N/A;1;4;0;4;N/A;0
6466;0;N/A;N/A;"Toaletní taška Dungeons & Dragons - Ampersand Dice";N/A;N/A;1;8;0;8;N/A;0
6467;0;N/A;N/A;"Bomby do koupele Star Wars - Stormtrooper";N/A;N/A;1;7;0;7;N/A;0
6468;0;N/A;N/A;"Osuška Jurský Svět - Roar";N/A;N/A;1;8;0;8;N/A;0
6469;0;N/A;N/A;"Osuška Avengers - Blue";N/A;N/A;1;6;0;6;N/A;0
6470;0;N/A;N/A;"Bomba do koupele Mandalorian - Grogu";N/A;N/A;1;3;0;3;N/A;0
6471;0;N/A;N/A;"Sada pleťových masek Star Wars - Impérium (3 ks)";N/A;N/A;1;8;0;8;N/A;0
6472;0;N/A;N/A;"Bomba do koupele Mandalorian - Baby Yoda";N/A;N/A;1;5;0;5;N/A;0
6473;0;N/A;N/A;"Sportovní osuška Nepropadej panice!";N/A;N/A;1;7;0;7;N/A;0
6474;0;N/A;N/A;"Korbel Pán Prstenů - U Skákavého poníka 3D";N/A;N/A;1;3;0;3;N/A;0
6475;0;N/A;N/A;"Hrnek Pán prstenů - You Shall Not Pass, měnící se";N/A;N/A;1;3;0;3;N/A;0
6476;0;N/A;N/A;"Hrnek Harry Potter - 3D Kotlík";N/A;N/A;1;4;0;4;N/A;0
6477;0;N/A;N/A;"Hrnek Ukradené Vánoce - Jack 3D";N/A;N/A;1;6;0;6;N/A;0
6478;0;N/A;N/A;"Sklenice Harry Potter - Znak Nebelvíru";N/A;N/A;1;7;0;7;N/A;0
6479;0;N/A;N/A;"Otvírák na lahve - Thorovo kladivo";N/A;N/A;1;4;0;4;N/A;0
6480;0;N/A;N/A;"Korbel Dungeons and Dragons - Red Dragon";N/A;N/A;1;3;0;3;N/A;0
6481;0;N/A;N/A;"Hrnek Fallout 4: Vault Boy";N/A;N/A;1;10;0;10;N/A;0
6482;0;N/A;N/A;"Sada magnetek Super Mario (23 ks)";N/A;N/A;1;5;0;5;N/A;0
6483;0;N/A;N/A;"Sklenice Pán prstenů - Skákavý poník";N/A;N/A;1;10;0;10;N/A;0
6484;0;N/A;N/A;"Hrnek Kingdom Come Deliverance II: Logo";N/A;N/A;1;3;0;3;N/A;0
6485;0;N/A;N/A;"Sada na čokoládové žabky Harry Potter";N/A;N/A;1;0;0;0;N/A;0
6486;0;N/A;N/A;"Hrnek Dark Souls - Praise the Sun";N/A;N/A;1;3;0;3;N/A;0
6487;0;N/A;N/A;"Dárková sada League of Legends";N/A;N/A;1;10;0;10;N/A;0
6488;0;N/A;N/A;"Hrnek Beetlejuice a Astrid";N/A;N/A;1;0;0;0;N/A;0
6489;0;N/A;N/A;"Hrnek League of Legends - 3D Poro";N/A;N/A;1;8;0;8;N/A;0
6490;0;N/A;N/A;"Láhev Stranger Things - Upside Down";N/A;N/A;1;3;0;3;N/A;0
6491;0;N/A;N/A;"Skleněný půllitr World of Warcraft - Aliance";N/A;N/A;1;3;0;3;N/A;0
6492;0;N/A;N/A;"Nerezový hrnek Pán prstenů - Prsten";N/A;N/A;1;8;0;8;N/A;0
6493;0;N/A;N/A;"Cestovní hrnek Star Wars - I like my Coffee on the Dark Side";N/A;N/A;1;0;0;0;N/A;0
6494;0;N/A;N/A;"Hrnek Harry Potter - Nástupiště 9 a 3/4";N/A;N/A;1;3;0;3;N/A;0
6495;0;N/A;N/A;"Hrnek Pán prstenů - Legolas";N/A;N/A;1;9;0;9;N/A;0
6496;0;N/A;N/A;"Hrnek Harry Potter - Expecto Patronum";N/A;N/A;1;5;0;5;N/A;0
6497;0;N/A;N/A;"Hrnek Ukradené Vánoce - 3D Rakev";N/A;N/A;1;3;0;3;N/A;0
6498;0;N/A;N/A;"Hrnek World of Warcraft - Azeroth, měnící se";N/A;N/A;1;9;0;9;N/A;0
6499;0;N/A;N/A;"Hrnek Minecraft - Creeper, měnící se";N/A;N/A;1;5;0;5;N/A;0
6500;0;N/A;N/A;"Dárková sada Pán prstenů - Prsten";N/A;N/A;1;0;0;0;N/A;0
6501;0;N/A;N/A;"Placatka s koženým obalem";N/A;N/A;1;6;0;6;N/A;0
6502;0;N/A;N/A;"Hrnek Pán prstenů - Mapa Středozemě";N/A;N/A;1;6;0;6;N/A;0
6503;0;N/A;N/A;"Pohár Pán prstenů - Aragorn";N/A;N/A;1;0;0;0;N/A;0
6504;0;N/A;N/A;"Korbel Pán Prstenů - U Skákavého poníka 3D";N/A;N/A;1;2;0;2;N/A;0
6505;0;N/A;N/A;"Hrnek Pán prstenů - You Shall Not Pass, měnící se";N/A;N/A;1;0;0;0;N/A;0
6506;0;N/A;N/A;"Hrnek Harry Potter - 3D Kotlík";N/A;N/A;1;0;0;0;N/A;0
6507;0;N/A;N/A;"Hrnek Ukradené Vánoce - Jack 3D";N/A;N/A;1;6;0;6;N/A;0
6508;0;N/A;N/A;"Sklenice Harry Potter - Znak Nebelvíru";N/A;N/A;1;2;0;2;N/A;0
6509;0;N/A;N/A;"Otvírák na lahve - Thorovo kladivo";N/A;N/A;1;1;0;1;N/A;0
6510;0;N/A;N/A;"Korbel Dungeons and Dragons - Red Dragon";N/A;N/A;1;6;0;6;N/A;0
6511;0;N/A;N/A;"Hrnek Fallout 4: Vault Boy";N/A;N/A;1;6;0;6;N/A;0
6512;0;N/A;N/A;"Sada magnetek Super Mario (23 ks)";N/A;N/A;1;9;0;9;N/A;0
6513;0;N/A;N/A;"Sklenice Pán prstenů - Skákavý poník";N/A;N/A;1;7;0;7;N/A;0
6514;0;N/A;N/A;"Hrnek Kingdom Come Deliverance II: Logo";N/A;N/A;1;5;0;5;N/A;0
6515;0;N/A;N/A;"Sada na čokoládové žabky Harry Potter";N/A;N/A;1;5;0;5;N/A;0
6516;0;N/A;N/A;"Hrnek Dark Souls - Praise the Sun";N/A;N/A;1;1;0;1;N/A;0
6517;0;N/A;N/A;"Dárková sada League of Legends";N/A;N/A;1;2;0;2;N/A;0
6518;0;N/A;N/A;"Hrnek Beetlejuice a Astrid";N/A;N/A;1;8;0;8;N/A;0
6519;0;N/A;N/A;"Hrnek League of Legends - 3D Poro";N/A;N/A;1;10;0;10;N/A;0
6520;0;N/A;N/A;"Láhev Stranger Things - Upside Down";N/A;N/A;1;4;0;4;N/A;0
6521;0;N/A;N/A;"Skleněný půllitr World of Warcraft - Aliance";N/A;N/A;1;10;0;10;N/A;0
6522;0;N/A;N/A;"Nerezový hrnek Pán prstenů - Prsten";N/A;N/A;1;5;0;5;N/A;0
6523;0;N/A;N/A;"Cestovní hrnek Star Wars - I like my Coffee on the Dark Side";N/A;N/A;1;10;0;10;N/A;0
6524;0;N/A;N/A;"Hrnek Harry Potter - Nástupiště 9 a 3/4";N/A;N/A;1;2;0;2;N/A;0
6525;0;N/A;N/A;"Hrnek Pán prstenů - Legolas";N/A;N/A;1;9;0;9;N/A;0
6526;0;N/A;N/A;"Hrnek Harry Potter - Expecto Patronum";N/A;N/A;1;5;0;5;N/A;0
6527;0;N/A;N/A;"Hrnek Ukradené Vánoce - 3D Rakev";N/A;N/A;1;2;0;2;N/A;0
6528;0;N/A;N/A;"Hrnek World of Warcraft - Azeroth, měnící se";N/A;N/A;1;8;0;8;N/A;0
6529;0;N/A;N/A;"Hrnek Minecraft - Creeper, měnící se";N/A;N/A;1;8;0;8;N/A;0
6530;0;N/A;N/A;"Dárková sada Pán prstenů - Prsten";N/A;N/A;1;9;0;9;N/A;0
6531;0;N/A;N/A;"Placatka s koženým obalem";N/A;N/A;1;2;0;2;N/A;0
6532;0;N/A;N/A;"Hrnek Pán prstenů - Mapa Středozemě";N/A;N/A;1;0;0;0;N/A;0
6533;0;N/A;N/A;"Pohár Pán prstenů - Aragorn";N/A;N/A;1;9;0;9;N/A;0
